Tonic,Scale_Type,FL_Stamp,Degree,Roman,PitchClass,MIDI,Frequency_Hz,Semitone_Offset,Cents_from_Tonic,ET_Ratio,Interval_Label,Hue_deg,Color_Name,Hex,Emotion_Primary,Valence,Arousal
D,Aeolian (Natural Minor),Natural Minor,2,II,E,64,329.62756,2,200,2^(2/12),M2,120,Green,#00FF00,"Calm, Peaceful → Center",++,Low-Med
D,Aeolian (Natural Minor),Natural Minor,3,III,F,65,349.22823,3,300,2^(3/12),m3,150,Spring Green,#00FF7F,"Trusting, Intimate → Bond",++,Low-Med
D,Aeolian (Natural Minor),Natural Minor,4,IV,G,67,391.99544,5,500,2^(5/12),P4,210,Azure,#007FFF,"Interested, Inquisitive → Focus",+,Med
D,Aeolian (Natural Minor),Natural Minor,5,V,A,69,440.0,7,700,2^(7/12),P5,270,Violet,#8B00FF,"Creative, Inspired → Imagination",+,Med
D,Aeolian (Natural Minor),Natural Minor,6,VI,A#,70,466.16376,8,800,2^(8/12),m6,300,Magenta,#FF00FF,"Loving, Thankful → Connection",++,Med
D,Aeolian (Natural Minor),Natural Minor,7,VII,C,72,523.25113,10,1000,2^(10/12),m7,0,Red,#FF0000,Angry → Courageous (assertive action),− → +,High
D,Locrian,Locrian,1,I,D,62,293.66477,0,0,2^(0/12),P1,60,Yellow,#FFFF00,"Joyful, Optimistic → Shine",++,Med-High
D,Locrian,Locrian,2,II,D#,63,311.12698,1,100,2^(1/12),m2,90,Yellow-Green,#ADFF2F,"Playful, Curious → Exploration",+,Medium
D,Locrian,Locrian,3,III,F,65,349.22823,3,300,2^(3/12),m3,150,Spring Green,#00FF7F,"Trusting, Intimate → Bond",++,Low-Med
D,Locrian,Locrian,4,IV,G,67,391.99544,5,500,2^(5/12),P4,210,Azure,#007FFF,"Interested, Inquisitive → Focus",+,Med
D,Locrian,Locrian,5,V,G#,68,415.3047,6,600,2^(6/12),TT,240,Blue,#0000FF,"Reflective, Sensitive (safe processing)",−,Low
D,Locrian,Locrian,6,VI,A#,70,466.16376,8,800,2^(8/12),m6,300,Magenta,#FF00FF,"Loving, Thankful → Connection",++,Med
D,Locrian,Locrian,7,VII,C,72,523.25113,10,1000,2^(10/12),m7,0,Red,#FF0000,Angry → Courageous (assertive action),− → +,High
D,Harmonic Minor,Harmonic Minor,1,I,D,62,293.66477,0,0,2^(0/12),P1,60,Yellow,#FFFF00,"Joyful, Optimistic → Shine",++,Med-High
D,Harmonic Minor,Harmonic Minor,2,II,E,64,329.62756,2,200,2^(2/12),M2,120,Green,#00FF00,"Calm, Peaceful → Center",++,Low-Med
D,Harmonic Minor,Harmonic Minor,3,III,F,65,349.22823,3,300,2^(3/12),m3,150,Spring Green,#00FF7F,"Trusting, Intimate → Bond",++,Low-Med
D,Harmonic Minor,Harmonic Minor,4,IV,G,67,391.99544,5,500,2^(5/12),P4,210,Azure,#007FFF,"Interested, Inquisitive → Focus",+,Med
D,Harmonic Minor,Harmonic Minor,5,V,A,69,440.0,7,700,2^(7/12),P5,270,Violet,#8B00FF,"Creative, Inspired → Imagination",+,Med
D,Harmonic Minor,Harmonic Minor,6,VI,A#,70,466.16376,8,800,2^(8/12),m6,300,Magenta,#FF00FF,"Loving, Thankful → Connection",++,Med
D,Harmonic Minor,Harmonic Minor,7,VII,C#,73,554.36526,11,1100,2^(11/12),M7,30,Orange,#FFA500,"Energetic, Provoked → Drive",+,High
D,Melodic Minor (Ascending),Melodic Minor,1,I,D,62,293.66477,0,0,2^(0/12),P1,60,Yellow,#FFFF00,"Joyful, Optimistic → Shine",++,Med-High
D,Melodic Minor (Ascending),Melodic Minor,2,II,E,64,329.62756,2,200,2^(2/12),M2,120,Green,#00FF00,"Calm, Peaceful → Center",++,Low-Med
D,Melodic Minor (Ascending),Melodic Minor,3,III,F,65,349.22823,3,300,2^(3/12),m3,150,Spring Green,#00FF7F,"Trusting, Intimate → Bond",++,Low-Med
D,Melodic Minor (Ascending),Melodic Minor,4,IV,G,67,391.99544,5,500,2^(5/12),P4,210,Azure,#007FFF,"Interested, Inquisitive → Focus",+,Med
D,Melodic Minor (Ascending),Melodic Minor,5,V,A,69,440.0,7,700,2^(7/12),P5,270,Violet,#8B00FF,"Creative, Inspired → Imagination",+,Med
D,Melodic Minor (Ascending),Melodic Minor,6,VI,B,71,493.8833,9,900,2^(9/12),M6,330,Rose,#FF007F,"Proud, Confident → Claim",++,Med-High
D,Melodic Minor (Ascending),Melodic Minor,7,VII,C#,73,554.36526,11,1100,2^(11/12),M7,30,Orange,#FFA500,"Energetic, Provoked → Drive",+,High
D,Melodic Minor (Descending=Nat),Natural Minor,1,I,D,62,293.66477,0,0,2^(0/12),P1,60,Yellow,#FFFF00,"Joyful, Optimistic → Shine",++,Med-High
D,Melodic Minor (Descending=Nat),Natural Minor,2,II,E,64,329.62756,2,200,2^(2/12),M2,120,Green,#00FF00,"Calm, Peaceful → Center",++,Low-Med
D,Melodic Minor (Descending=Nat),Natural Minor,3,III,F,65,349.22823,3,300,2^(3/12),m3,150,Spring Green,#00FF7F,"Trusting, Intimate → Bond",++,Low-Med
D,Melodic Minor (Descending=Nat),Natural Minor,4,IV,G,67,391.99544,5,500,2^(5/12),P4,210,Azure,#007FFF,"Interested, Inquisitive → Focus",+,Med
D,Melodic Minor (Descending=Nat),Natural Minor,5,V,A,69,440.0,7,700,2^(7/12),P5,270,Violet,#8B00FF,"Creative, Inspired → Imagination",+,Med
D,Melodic Minor (Descending=Nat),Natural Minor,6,VI,A#,70,466.16376,8,800,2^(8/12),m6,300,Magenta,#FF00FF,"Loving, Thankful → Connection",++,Med
D,Melodic Minor (Descending=Nat),Natural Minor,7,VII,C,72,523.25113,10,1000,2^(10/12),m7,0,Red,#FF0000,Angry → Courageous (assertive action),− → +,High
A,Ionian (Major),Major,1,I,A,69,440.0,0,0,2^(0/12),P1,270,Violet,#8B00FF,"Creative, Inspired → Imagination",+,Med
A,Ionian (Major),Major,2,II,B,71,493.8833,2,200,2^(2/12),M2,330,Rose,#FF007F,"Proud, Confident → Claim",++,Med-High
A,Ionian (Major),Major,3,III,C#,73,554.36526,4,400,2^(4/12),M3,30,Orange,#FFA500,"Energetic, Provoked → Drive",+,High
A,Ionian (Major),Major,4,IV,D,74,587.32954,5,500,2^(5/12),P4,60,Yellow,#FFFF00,"Joyful, Optimistic → Shine",++,Med-High
A,Ionian (Major),Major,5,V,E,76,659.25511,7,700,2^(7/12),P5,120,Green,#00FF00,"Calm, Peaceful → Center",++,Low-Med
A,Ionian (Major),Major,6,VI,F#,78,739.98885,9,900,2^(9/12),M6,180,Cyan,#00FFFF,"Content, Clear-minded → Stability",+,Low
A,Ionian (Major),Major,7,VII,G#,80,830.6094,11,1100,2^(11/12),M7,240,Blue,#0000FF,"Reflective, Sensitive (safe processing)",−,Low
A,Dorian,Dorian,1,I,A,69,440.0,0,0,2^(0/12),P1,270,Violet,#8B00FF,"Creative, Inspired → Imagination",+,Med
A,Dorian,Dorian,2,II,B,71,493.8833,2,200,2^(2/12),M2,330,Rose,#FF007F,"Proud, Confident → Claim",++,Med-High
A,Dorian,Dorian,3,III,C,72,523.25113,3,300,2^(3/12),m3,0,Red,#FF0000,Angry → Courageous (assertive action),− → +,High
A,Dorian,Dorian,4,IV,D,74,587.32954,5,500,2^(5/12),P4,60,Yellow,#FFFF00,"Joyful, Optimistic → Shine",++,Med-High
A,Dorian,Dorian,5,V,E,76,659.25511,7,700,2^(7/12),P5,120,Green,#00FF00,"Calm, Peaceful → Center",++,Low-Med
A,Dorian,Dorian,6,VI,F#,78,739.98885,9,900,2^(9/12),M6,180,Cyan,#00FFFF,"Content, Clear-minded → Stability",+,Low
A,Dorian,Dorian,7,VII,G,79,783.99087,10,1000,2^(10/12),m7,210,Azure,#007FFF,"Interested, Inquisitive → Focus",+,Med
A,Phrygian,Phrygian,1,I,A,69,440.0,0,0,2^(0/12),P1,270,Violet,#8B00FF,"Creative, Inspired → Imagination",+,Med
A,Phrygian,Phrygian,2,II,A#,70,466.16376,1,100,2^(1/12),m2,300,Magenta,#FF00FF,"Loving, Thankful → Connection",++,Med
A,Phrygian,Phrygian,3,III,C,72,523.25113,3,300,2^(3/12),m3,0,Red,#FF0000,Angry → Courageous (assertive action),− → +,High
A,Phrygian,Phrygian,4,IV,D,74,587.32954,5,500,2^(5/12),P4,60,Yellow,#FFFF00,"Joyful, Optimistic → Shine",++,Med-High
A,Phrygian,Phrygian,5,V,E,76,659.25511,7,700,2^(7/12),P5,120,Green,#00FF00,"Calm, Peaceful → Center",++,Low-Med
A,Phrygian,Phrygian,6,VI,F,77,698.45646,8,800,2^(8/12),m6,150,Spring Green,#00FF7F,"Trusting, Intimate → Bond",++,Low-Med
A,Phrygian,Phrygian,7,VII,G,79,783.99087,10,1000,2^(10/12),m7,210,Azure,#007FFF,"Interested, Inquisitive → Focus",+,Med
A,Lydian,Lydian,1,I,A,69,440.0,0,0,2^(0/12),P1,270,Violet,#8B00FF,"Creative, Inspired → Imagination",+,Med
A,Lydian,Lydian,2,II,B,71,493.8833,2,200,2^(2/12),M2,330,Rose,#FF007F,"Proud, Confident → Claim",++,Med-High
A,Lydian,Lydian,3,III,C#,73,554.36526,4,400,2^(4/12),M3,30,Orange,#FFA500,"Energetic, Provoked → Drive",+,High
A,Lydian,Lydian,4,IV,D#,75,622.25397,6,600,2^(6/12),TT,90,Yellow-Green,#ADFF2F,"Playful, Curious → Exploration",+,Medium
A,Lydian,Lydian,5,V,E,76,659.25511,7,700,2^(7/12),P5,120,Green,#00FF00,"Calm, Peaceful → Center",++,Low-Med
A,Lydian,Lydian,6,VI,F#,78,739.98885,9,900,2^(9/12),M6,180,Cyan,#00FFFF,"Content, Clear-minded → Stability",+,Low
A,Lydian,Lydian,7,VII,G#,80,830.6094,11,1100,2^(11/12),M7,240,Blue,#0000FF,"Reflective, Sensitive (safe processing)",−,Low
A,Mixolydian,Mixolydian,1,I,A,69,440.0,0,0,2^(0/12),P1,270,Violet,#8B00FF,"Creative, Inspired → Imagination",+,Med
A,Mixolydian,Mixolydian,2,II,B,71,493.8833,2,200,2^(2/12),M2,330,Rose,#FF007F,"Proud, Confident → Claim",++,Med-High
A,Mixolydian,Mixolydian,3,III,C#,73,554.36526,4,400,2^(4/12),M3,30,Orange,#FFA500,"Energetic, Provoked → Drive",+,High
A,Mixolydian,Mixolydian,4,IV,D,74,587.32954,5,500,2^(5/12),P4,60,Yellow,#FFFF00,"Joyful, Optimistic → Shine",++,Med-High
A,Mixolydian,Mixolydian,5,V,E,76,659.25511,7,700,2^(7/12),P5,120,Green,#00FF00,"Calm, Peaceful → Center",++,Low-Med
A,Mixolydian,Mixolydian,6,VI,F#,78,739.98885,9,900,2^(9/12),M6,180,Cyan,#00FFFF,"Content, Clear-minded → Stability",+,Low
A,Mixolydian,Mixolydian,7,VII,G,79,783.99087,10,1000,2^(10/12),m7,210,Azure,#007FFF,"Interested, Inquisitive → Focus",+,Med
A,Aeolian (Natural Minor),Natural Minor,1,I,A,69,440.0,0,0,2^(0/12),P1,270,Violet,#8B00FF,"Creative, Inspired → Imagination",+,Med
A,Aeolian (Natural Minor),Natural Minor,2,II,B,71,493.8833,2,200,2^(2/12),M2,330,Rose,#FF007F,"Proud, Confident → Claim",++,Med-High
A,Aeolian (Natural Minor),Natural Minor,3,III,C,72,523.25113,3,300,2^(3/12),m3,0,Red,#FF0000,Angry → Courageous (assertive action),− → +,High
A,Aeolian (Natural Minor),Natural Minor,4,IV,D,74,587.32954,5,500,2^(5/12),P4,60,Yellow,#FFFF00,"Joyful, Optimistic → Shine",++,Med-High
A,Aeolian (Natural Minor),Natural Minor,5,V,E,76,659.25511,7,700,2^(7/12),P5,120,Green,#00FF00,"Calm, Peaceful → Center",++,Low-Med
A,Aeolian (Natural Minor),Natural Minor,6,VI,F,77,698.45646,8,800,2^(8/12),m6,150,Spring Green,#00FF7F,"Trusting, Intimate → Bond",++,Low-Med
A,Aeolian (Natural Minor),Natural Minor,7,VII,G,79,783.99087,10,1000,2^(10/12),m7,210,Azure,#007FFF,"Interested, Inquisitive → Focus",+,Med
A,Locrian,Locrian,1,I,A,69,440.0,0,0,2^(0/12),P1,270,Violet,#8B00FF,"Creative, Inspired → Imagination",+,Med
A,Locrian,Locrian,2,II,A#,70,466.16376,1,100,2^(1/12),m2,300,Magenta,#FF00FF,"Loving, Thankful → Connection",++,Med
A,Locrian,Locrian,3,III,C,72,523.25113,3,300,2^(3/12),m3,0,Red,#FF0000,Angry → Courageous (assertive action),− → +,High
A,Locrian,Locrian,4,IV,D,74,587.32954,5,500,2^(5/12),P4,60,Yellow,#FFFF00,"Joyful, Optimistic → Shine",++,Med-High
A,Locrian,Locrian,5,V,D#,75,622.25397,6,600,2^(6/12),TT,90,Yellow-Green,#ADFF2F,"Playful, Curious → Exploration",+,Medium
A,Locrian,Locrian,6,VI,F,77,698.45646,8,800,2^(8/12),m6,150,Spring Green,#00FF7F,"Trusting, Intimate → Bond",++,Low-Med
A,Locrian,Locrian,7,VII,G,79,783.99087,10,1000,2^(10/12),m7,210,Azure,#007FFF,"Interested, Inquisitive → Focus",+,Med
A,Harmonic Minor,Harmonic Minor,1,I,A,69,440.0,0,0,2^(0/12),P1,270,Violet,#8B00FF,"Creative, Inspired → Imagination",+,Med
A,Harmonic Minor,Harmonic Minor,2,II,B,71,493.8833,2,200,2^(2/12),M2,330,Rose,#FF007F,"Proud, Confident → Claim",++,Med-High
A,Harmonic Minor,Harmonic Minor,3,III,C,72,523.25113,3,300,2^(3/12),m3,0,Red,#FF0000,Angry → Courageous (assertive action),− → +,High
A,Harmonic Minor,Harmonic Minor,4,IV,D,74,587.32954,5,500,2^(5/12),P4,60,Yellow,#FFFF00,"Joyful, Optimistic → Shine",++,Med-High
A,Harmonic Minor,Harmonic Minor,5,V,E,76,659.25511,7,700,2^(7/12),P5,120,Green,#00FF00,"Calm, Peaceful → Center",++,Low-Med
A,Harmonic Minor,Harmonic Minor,6,VI,F,77,698.45646,8,800,2^(8/12),m6,150,Spring Green,#00FF7F,"Trusting, Intimate → Bond",++,Low-Med
A,Harmonic Minor,Harmonic Minor,7,VII,G#,80,830.6094,11,1100,2^(11/12),M7,240,Blue,#0000FF,"Reflective, Sensitive (safe processing)",−,Low
A,Melodic Minor (Ascending),Melodic Minor,1,I,A,69,440.0,0,0,2^(0/12),P1,270,Violet,#8B00FF,"Creative, Inspired → Imagination",+,Med
A,Melodic Minor (Ascending),Melodic Minor,2,II,B,71,493.8833,2,200,2^(2/12),M2,330,Rose,#FF007F,"Proud, Confident → Claim",++,Med-High
A,Melodic Minor (Ascending),Melodic Minor,3,III,C,72,523.25113,3,300,2^(3/12),m3,0,Red,#FF0000,Angry → Courageous (assertive action),− → +,High
A,Melodic Minor (Ascending),Melodic Minor,4,IV,D,74,587.32954,5,500,2^(5/12),P4,60,Yellow,#FFFF00,"Joyful, Optimistic → Shine",++,Med-High
A,Melodic Minor (Ascending),Melodic Minor,5,V,E,76,659.25511,7,700,2^(7/12),P5,120,Green,#00FF00,"Calm, Peaceful → Center",++,Low-Med
A,Melodic Minor (Ascending),Melodic Minor,6,VI,F#,78,739.98885,9,900,2^(9/12),M6,180,Cyan,#00FFFF,"Content, Clear-minded → Stability",+,Low
A,Melodic Minor (Ascending),Melodic Minor,7,VII,G#,80,830.6094,11,1100,2^(11/12),M7,240,Blue,#0000FF,"Reflective, Sensitive (safe processing)",−,Low
A,Melodic Minor (Descending=Nat),Natural Minor,1,I,A,69,440.0,0,0,2^(0/12),P1,270,Violet,#8B00FF,"Creative, Inspired → Imagination",+,Med
A,Melodic Minor (Descending=Nat),Natural Minor,2,II,B,71,493.8833,2,200,2^(2/12),M2,330,Rose,#FF007F,"Proud, Confident → Claim",++,Med-High
A,Melodic Minor (Descending=Nat),Natural Minor,3,III,C,72,523.25113,3,300,2^(3/12),m3,0,Red,#FF0000,Angry → Courageous (assertive action),− → +,High
A,Melodic Minor (Descending=Nat),Natural Minor,4,IV,D,74,587.32954,5,500,2^(5/12),P4,60,Yellow,#FFFF00,"Joyful, Optimistic → Shine",++,Med-High
A,Melodic Minor (Descending=Nat),Natural Minor,5,V,E,76,659.25511,7,700,2^(7/12),P5,120,Green,#00FF00,"Calm, Peaceful → Center",++,Low-Med
A,Melodic Minor (Descending=Nat),Natural Minor,6,VI,F,77,698.45646,8,800,2^(8/12),m6,150,Spring Green,#00FF7F,"Trusting, Intimate → Bond",++,Low-Med
A,Melodic Minor (Descending=Nat),Natural Minor,7,VII,G,79,783.99087,10,1000,2^(10/12),m7,210,Azure,#007FFF,"Interested, Inquisitive → Focus",+,Med
E,Ionian (Major),Major,1,I,E,64,329.62756,0,0,2^(0/12),P1,120,Green,#00FF00,"Calm, Peaceful → Center",++,Low-Med
E,Ionian (Major),Major,2,II,F#,66,369.99442,2,200,2^(2/12),M2,180,Cyan,#00FFFF,"Content, Clear-minded → Stability",+,Low
E,Ionian (Major),Major,3,III,G#,68,415.3047,4,400,2^(4/12),M3,240,Blue,#0000FF,"Reflective, Sensitive (safe processing)",−,Low
E,Ionian (Major),Major,4,IV,A,69,440.0,5,500,2^(5/12),P4,270,Violet,#8B00FF,"Creative, Inspired → Imagination",+,Med
E,Ionian (Major),Major,5,V,B,71,493.8833,7,700,2^(7/12),P5,330,Rose,#FF007F,"Proud, Confident → Claim",++,Med-High
E,Ionian (Major),Major,6,VI,C#,73,554.36526,9,900,2^(9/12),M6,30,Orange,#FFA500,"Energetic, Provoked → Drive",+,High
E,Ionian (Major),Major,7,VII,D#,75,622.25397,11,1100,2^(11/12),M7,90,Yellow-Green,#ADFF2F,"Playful, Curious → Exploration",+,Medium
E,Dorian,Dorian,1,I,E,64,329.62756,0,0,2^(0/12),P1,120,Green,#00FF00,"Calm, Peaceful → Center",++,Low-Med
E,Dorian,Dorian,2,II,F#,66,369.99442,2,200,2^(2/12),M2,180,Cyan,#00FFFF,"Content, Clear-minded → Stability",+,Low
E,Dorian,Dorian,3,III,G,67,391.99544,3,300,2^(3/12),m3,210,Azure,#007FFF,"Interested, Inquisitive → Focus",+,Med
E,Dorian,Dorian,4,IV,A,69,440.0,5,500,2^(5/12),P4,270,Violet,#8B00FF,"Creative, Inspired → Imagination",+,Med
E,Dorian,Dorian,5,V,B,71,493.8833,7,700,2^(7/12),P5,330,Rose,#FF007F,"Proud, Confident → Claim",++,Med-High
E,Dorian,Dorian,6,VI,C#,73,554.36526,9,900,2^(9/12),M6,30,Orange,#FFA500,"Energetic, Provoked → Drive",+,High
E,Dorian,Dorian,7,VII,D,74,587.32954,10,1000,2^(10/12),m7,60,Yellow,#FFFF00,"Joyful, Optimistic → Shine",++,Med-High
E,Phrygian,Phrygian,1,I,E,64,329.62756,0,0,2^(0/12),P1,120,Green,#00FF00,"Calm, Peaceful → Center",++,Low-Med
E,Phrygian,Phrygian,2,II,F,65,349.22823,1,100,2^(1/12),m2,150,Spring Green,#00FF7F,"Trusting, Intimate → Bond",++,Low-Med
E,Phrygian,Phrygian,3,III,G,67,391.99544,3,300,2^(3/12),m3,210,Azure,#007FFF,"Interested, Inquisitive → Focus",+,Med
E,Phrygian,Phrygian,4,IV,A,69,440.0,5,500,2^(5/12),P4,270,Violet,#8B00FF,"Creative, Inspired → Imagination",+,Med
E,Phrygian,Phrygian,5,V,B,71,493.8833,7,700,2^(7/12),P5,330,Rose,#FF007F,"Proud, Confident → Claim",++,Med-High
E,Phrygian,Phrygian,6,VI,C,72,523.25113,8,800,2^(8/12),m6,0,Red,#FF0000,Angry → Courageous (assertive action),− → +,High
E,Phrygian,Phrygian,7,VII,D,74,587.32954,10,1000,2^(10/12),m7,60,Yellow,#FFFF00,"Joyful, Optimistic → Shine",++,Med-High
E,Lydian,Lydian,1,I,E,64,329.62756,0,0,2^(0/12),P1,120,Green,#00FF00,"Calm, Peaceful → Center",++,Low-Med
E,Lydian,Lydian,2,II,F#,66,369.99442,2,200,2^(2/12),M2,180,Cyan,#00FFFF,"Content, Clear-minded → Stability",+,Low
E,Lydian,Lydian,3,III,G#,68,415.3047,4,400,2^(4/12),M3,240,Blue,#0000FF,"Reflective, Sensitive (safe processing)",−,Low
E,Lydian,Lydian,4,IV,A#,70,466.16376,6,600,2^(6/12),TT,300,Magenta,#FF00FF,"Loving, Thankful → Connection",++,Med
E,Lydian,Lydian,5,V,B,71,493.8833,7,700,2^(7/12),P5,330,Rose,#FF007F,"Proud, Confident → Claim",++,Med-High
E,Lydian,Lydian,6,VI,C#,73,554.36526,9,900,2^(9/12),M6,30,Orange,#FFA500,"Energetic, Provoked → Drive",+,High
E,Lydian,Lydian,7,VII,D#,75,622.25397,11,1100,2^(11/12),M7,90,Yellow-Green,#ADFF2F,"Playful, Curious → Exploration",+,Medium
E,Mixolydian,Mixolydian,1,I,E,64,329.62756,0,0,2^(0/12),P1,120,Green,#00FF00,"Calm, Peaceful → Center",++,Low-Med
E,Mixolydian,Mixolydian,2,II,F#,66,369.99442,2,200,2^(2/12),M2,180,Cyan,#00FFFF,"Content, Clear-minded → Stability",+,Low
E,Mixolydian,Mixolydian,3,III,G#,68,415.3047,4,400,2^(4/12),M3,240,Blue,#0000FF,"Reflective, Sensitive (safe processing)",−,Low
E,Mixolydian,Mixolydian,4,IV,A,69,440.0,5,500,2^(5/12),P4,270,Violet,#8B00FF,"Creative, Inspired → Imagination",+,Med
E,Mixolydian,Mixolydian,5,V,B,71,493.8833,7,700,2^(7/12),P5,330,Rose,#FF007F,"Proud, Confident → Claim",++,Med-High
E,Mixolydian,Mixolydian,6,VI,C#,73,554.36526,9,900,2^(9/12),M6,30,Orange,#FFA500,"Energetic, Provoked → Drive",+,High
E,Mixolydian,Mixolydian,7,VII,D,74,587.32954,10,1000,2^(10/12),m7,60,Yellow,#FFFF00,"Joyful, Optimistic → Shine",++,Med-High
E,Aeolian (Natural Minor),Natural Minor,1,I,E,64,329.62756,0,0,2^(0/12),P1,120,Green,#00FF00,"Calm, Peaceful → Center",++,Low-Med
E,Aeolian (Natural Minor),Natural Minor,2,II,F#,66,369.99442,2,200,2^(2/12),M2,180,Cyan,#00FFFF,"Content, Clear-minded → Stability",+,Low
E,Aeolian (Natural Minor),Natural Minor,3,III,G,67,391.99544,3,300,2^(3/12),m3,210,Azure,#007FFF,"Interested, Inquisitive → Focus",+,Med
E,Aeolian (Natural Minor),Natural Minor,4,IV,A,69,440.0,5,500,2^(5/12),P4,270,Violet,#8B00FF,"Creative, Inspired → Imagination",+,Med
E,Aeolian (Natural Minor),Natural Minor,5,V,B,71,493.8833,7,700,2^(7/12),P5,330,Rose,#FF007F,"Proud, Confident → Claim",++,Med-High
E,Aeolian (Natural Minor),Natural Minor,6,VI,C,72,523.25113,8,800,2^(8/12),m6,0,Red,#FF0000,Angry → Courageous (assertive action),− → +,High
E,Aeolian (Natural Minor),Natural Minor,7,VII,D,74,587.32954,10,1000,2^(10/12),m7,60,Yellow,#FFFF00,"Joyful, Optimistic → Shine",++,Med-High
E,Locrian,Locrian,1,I,E,64,329.62756,0,0,2^(0/12),P1,120,Green,#00FF00,"Calm, Peaceful → Center",++,Low-Med
E,Locrian,Locrian,2,II,F,65,349.22823,1,100,2^(1/12),m2,150,Spring Green,#00FF7F,"Trusting, Intimate → Bond",++,Low-Med
E,Locrian,Locrian,3,III,G,67,391.99544,3,300,2^(3/12),m3,210,Azure,#007FFF,"Interested, Inquisitive → Focus",+,Med
E,Locrian,Locrian,4,IV,A,69,440.0,5,500,2^(5/12),P4,270,Violet,#8B00FF,"Creative, Inspired → Imagination",+,Med
E,Locrian,Locrian,5,V,A#,70,466.16376,6,600,2^(6/12),TT,300,Magenta,#FF00FF,"Loving, Thankful → Connection",++,Med
E,Locrian,Locrian,6,VI,C,72,523.25113,8,800,2^(8/12),m6,0,Red,#FF0000,Angry → Courageous (assertive action),− → +,High
E,Locrian,Locrian,7,VII,D,74,587.32954,10,1000,2^(10/12),m7,60,Yellow,#FFFF00,"Joyful, Optimistic → Shine",++,Med-High
E,Harmonic Minor,Harmonic Minor,1,I,E,64,329.62756,0,0,2^(0/12),P1,120,Green,#00FF00,"Calm, Peaceful → Center",++,Low-Med
E,Harmonic Minor,Harmonic Minor,2,II,F#,66,369.99442,2,200,2^(2/12),M2,180,Cyan,#00FFFF,"Content, Clear-minded → Stability",+,Low
E,Harmonic Minor,Harmonic Minor,3,III,G,67,391.99544,3,300,2^(3/12),m3,210,Azure,#007FFF,"Interested, Inquisitive → Focus",+,Med
E,Harmonic Minor,Harmonic Minor,4,IV,A,69,440.0,5,500,2^(5/12),P4,270,Violet,#8B00FF,"Creative, Inspired → Imagination",+,Med
E,Harmonic Minor,Harmonic Minor,5,V,B,71,493.8833,7,700,2^(7/12),P5,330,Rose,#FF007F,"Proud, Confident → Claim",++,Med-High
E,Harmonic Minor,Harmonic Minor,6,VI,C,72,523.25113,8,800,2^(8/12),m6,0,Red,#FF0000,Angry → Courageous (assertive action),− → +,High
E,Harmonic Minor,Harmonic Minor,7,VII,D#,75,622.25397,11,1100,2^(11/12),M7,90,Yellow-Green,#ADFF2F,"Playful, Curious → Exploration",+,Medium
E,Melodic Minor (Ascending),Melodic Minor,1,I,E,64,329.62756,0,0,2^(0/12),P1,120,Green,#00FF00,"Calm, Peaceful → Center",++,Low-Med
E,Melodic Minor (Ascending),Melodic Minor,2,II,F#,66,369.99442,2,200,2^(2/12),M2,180,Cyan,#00FFFF,"Content, Clear-minded → Stability",+,Low
E,Melodic Minor (Ascending),Melodic Minor,3,III,G,67,391.99544,3,300,2^(3/12),m3,210,Azure,#007FFF,"Interested, Inquisitive → Focus",+,Med
E,Melodic Minor (Ascending),Melodic Minor,4,IV,A,69,440.0,5,500,2^(5/12),P4,270,Violet,#8B00FF,"Creative, Inspired → Imagination",+,Med
E,Melodic Minor (Ascending),Melodic Minor,5,V,B,71,493.8833,7,700,2^(7/12),P5,330,Rose,#FF007F,"Proud, Confident → Claim",++,Med-High
E,Melodic Minor (Ascending),Melodic Minor,6,VI,C#,73,554.36526,9,900,2^(9/12),M6,30,Orange,#FFA500,"Energetic, Provoked → Drive",+,High
E,Melodic Minor (Ascending),Melodic Minor,7,VII,D#,75,622.25397,11,1100,2^(11/12),M7,90,Yellow-Green,#ADFF2F,"Playful, Curious → Exploration",+,Medium
E,Melodic Minor (Descending=Nat),Natural Minor,1,I,E,64,329.62756,0,0,2^(0/12),P1,120,Green,#00FF00,"Calm, Peaceful → Center",++,Low-Med
E,Melodic Minor (Descending=Nat),Natural Minor,2,II,F#,66,369.99442,2,200,2^(2/12),M2,180,Cyan,#00FFFF,"Content, Clear-minded → Stability",+,Low
E,Melodic Minor (Descending=Nat),Natural Minor,3,III,G,67,391.99544,3,300,2^(3/12),m3,210,Azure,#007FFF,"Interested, Inquisitive → Focus",+,Med
E,Melodic Minor (Descending=Nat),Natural Minor,4,IV,A,69,440.0,5,500,2^(5/12),P4,270,Violet,#8B00FF,"Creative, Inspired → Imagination",+,Med
E,Melodic Minor (Descending=Nat),Natural Minor,5,V,B,71,493.8833,7,700,2^(7/12),P5,330,Rose,#FF007F,"Proud, Confident → Claim",++,Med-High
E,Melodic Minor (Descending=Nat),Natural Minor,6,VI,C,72,523.25113,8,800,2^(8/12),m6,0,Red,#FF0000,Angry → Courageous (assertive action),− → +,High
E,Melodic Minor (Descending=Nat),Natural Minor,7,VII,D,74,587.32954,10,1000,2^(10/12),m7,60,Yellow,#FFFF00,"Joyful, Optimistic → Shine",++,Med-High
B,Ionian (Major),Major,1,I,B,71,493.8833,0,0,2^(0/12),P1,330,Rose,#FF007F,"Proud, Confident → Claim",++,Med-High
